CODE 10-4.  Принято.<br>
CODE 10-6.  Не принято.<br>
CODE 10-15.  Подозреваемые арестованы (включая кол-во подозреваемых, локацию. При оформлении преступника в участок).<br>
CODE 10-20.  Локация. (Район и улица)<br>
CODE 10-21.  Запрос ситуации и местонахождения. (Для кураторов патрульного дивизиона)<br>
CODE 10-40.  Большое скопление людей. (В 2 раза больше, чем МВД на ситуации. Реагирование по 3 коду)<br>
CODE 10-55.  Traffic-Stop<br>
CODE 10-57 VICTOR.  Погоня за автомобилем (включая модель авто, цвет, местонахождение, направление движения и сообщение о переходе в Discord).<br>
CODE 10-57 FOXTROT.  Пешая погоня (включая внешность подозреваемого, оружие (если имеется), местонахождение, направление движения, Discord)<br>
CODE 10-60.  Информация об автомобиле. (Включая цвет, марку, количество людей внутри(расу))<br>
CODE 10-61.  Информация о пешем подозреваемом. (Включая расу, одежду.)<br>
CODE 10-66.  Остановка повышенного риска.<br>
CODE 10-99.  Ситуация урегулирована.<br>
